Office,Candidate,Precinct_1,Precinct_2,Precinct_3,Precinct_4,Precinct_5,Precinct_6,Precinct_7,Precinct_8,Precinct_9,Precinct_10,Precinct_11,Precinct_12,Total
Voter Turnout,Registered voters,1763,1907,1971,2015,1934,1886,2059,2041,1787,2553,1819,1786,23521
Voter Turnout,Voters,233,311,374,534,412,319,563,543,281,520,341,327,4758
CITY COUNCIL PRESIDENT,Mark Sideris,168,234,282,395,307,240,413,430,217,388,248,234,3556
CITY COUNCIL PRESIDENT,Total number of write-ins,2,3,2,1,4,8,10,9,5,5,8,7,64
CITY COUNCIL PRESIDENT,Times Blank Voted,63,74,90,138,101,71,140,104,59,127,85,86,1138
CITY COUNCIL PRESIDENT,Total Ballots,233,311,374,534,412,319,563,543,281,520,341,327,4758
COUNCILOR-AT-LARGE,Anthony J Donato,136,189,225,341,211,191,355,328,159,403,255,260,3053
COUNCILOR-AT-LARGE,David Michael Stokes,57,89,96,142,111,102,133,185,71,130,83,65,1264
COUNCILOR-AT-LARGE,Michelle Cokonoughi,67,93,99,88,120,86,93,125,89,94,75,66,1095
COUNCILOR-AT-LARGE,Michael F Dattoli,124,169,173,254,186,121,289,285,136,269,170,161,2337
COUNCILOR-AT-LARGE,Anthony Palomba,114,189,241,355,261,154,322,306,149,242,162,149,2644
COUNCILOR-AT-LARGE,Caroline J Bays,125,193,235,367,249,181,328,307,160,211,151,150,2657
COUNCILOR-AT-LARGE,Total number of write-ins,0,8,2,2,2,6,12,3,0,1,5,0,41
COUNCILOR-AT-LARGE,Times Blank Voted,309,314,425,587,508,435,720,633,360,730,463,457,5941
COUNCILOR-AT-LARGE,Total Ballots,233,311,374,534,412,319,563,543,281,520,341,327,4758
DISTRICT A COUNCILOR,Angeline B Kounelis,171,220,268,,,,,,,,,,659
DISTRICT A COUNCILOR,Total number of write-ins,1,6,2,,,,,,,,,,9
DISTRICT A COUNCILOR,Times Blank Voted,61,85,104,,,,,,,,,,250
DISTRICT A COUNCILOR,Total Ballots,233,311,374,,,,,,,,,,918
DISTRICT B COUNCILOR,Lisa J Feltner,,,,372,309,221,,,,,,,902
DISTRICT B COUNCILOR,Total number of write-ins,,,,5,7,1,,,,,,,13
DISTRICT B COUNCILOR,Times Blank Voted,,,,157,96,97,,,,,,,350
DISTRICT B COUNCILOR,Total Ballots,,,,534,412,319,,,,,,,1265
DISTRICT C COUNCILOR,V.J. Piccirilli Jr,,,,,,,400,409,196,,,,1005
DISTRICT C COUNCILOR,Total number of write-ins,,,,,,,10,3,7,,,,20
DISTRICT C COUNCILOR,Times Blank Voted,,,,,,,153,131,78,,,,362
DISTRICT C COUNCILOR,Total Ballots,,,,,,,563,543,281,,,,1387
DISTRICT D COUNCILOR,Kenneth M Woodland,,,,,,,,,,363,238,234,835
DISTRICT D COUNCILOR,Total number of write-ins,,,,,,,,,,1,2,3,6
DISTRICT D COUNCILOR,Times Blank Voted,,,,,,,,,,156,101,90,347
DISTRICT D COUNCILOR,Total Ballots,,,,,,,,,,520,341,327,1188
SCHOOL COMMITTEE,Amy B Donohue,116,168,169,271,180,179,326,293,135,300,203,209,2549
SCHOOL COMMITTEE,Guido Guidotti,77,105,124,166,136,100,179,175,94,166,117,93,1532
SCHOOL COMMITTEE,John H Portz,85,128,179,306,189,125,264,240,105,215,141,124,2101
SCHOOL COMMITTEE,Lily R Rayman-Read,82,124,122,215,146,95,186,243,116,165,113,84,1691
SCHOOL COMMITTEE,Michael K Shepard,46,82,64,81,97,77,88,106,57,123,79,68,968
SCHOOL COMMITTEE,Elizabeth K Yusem,84,126,167,229,170,123,172,171,102,134,82,105,1665
SCHOOL COMMITTEE,Total number of write-ins,0,3,2,0,0,1,10,2,1,3,3,3,28
SCHOOL COMMITTEE,Times Blank Voted,209,197,295,334,318,257,464,399,233,454,285,295,3740
SCHOOL COMMITTEE,Total Ballots,233,311,374,534,412,319,563,543,281,520,341,327,4758
SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,149,199,240,323,227,212,331,365,191,318,222,202,2979
SCHOOL COMMITTEE 2-YEAR TERM,Total number of write-ins,1,4,1,2,2,2,7,2,3,5,1,3,33
SCHOOL COMMITTEE 2-YEAR TERM,Times Blank Voted,83,108,133,209,183,105,225,176,87,197,118,122,1746
SCHOOL COMMITTEE 2-YEAR TERM,Total Ballots,233,311,374,534,412,319,563,543,281,520,341,327,4758
LIBRARY TRUSTEES,Leanne Hammonds,122,165,217,274,207,166,308,313,158,236,188,182,2536
LIBRARY TRUSTEES,Daniel E Pritchard,88,146,202,226,182,99,213,232,121,188,141,109,1947
LIBRARY TRUSTEES,Michael J Hanlon Jr,116,150,151,196,163,145,218,215,132,231,145,132,1994
LIBRARY TRUSTEES,David R Breakstone,69,101,125,259,176,126,173,264,111,124,122,88,1738
LIBRARY TRUSTEES,Total number of write-ins,0,3,4,7,2,1,7,4,1,4,2,2,37
LIBRARY TRUSTEES,Times Blank Voted,304,368,423,640,506,420,770,601,320,777,425,468,6022
LIBRARY TRUSTEES,Total Ballots,233,311,374,534,412,319,563,543,281,520,341,327,4758
