Office,Candidate,Precinct_1,Precinct_2,Precinct_3,Precinct_4,Precinct_5,Precinct_6,Precinct_7,Precinct_8,Precinct_9,Precinct_10,Precinct_11,Precinct_12,Total
Voter Turnout,Registered voters,1778,1872,2008,2026,2149,1869,2072,2054,1773,2659,1810,1787,23857
Voter Turnout,Voters,211,283,328,476,393,252,461,480,238,447,266,277,4112
CITY COUNCIL PRESIDENT,Mark S. Sideris,178,212,252,363,306,205,369,403,178,336,201,213,3216
CITY COUNCIL PRESIDENT,Total number of write-ins,1,7,6,3,6,2,5,6,5,6,11,1,59
CITY COUNCIL PRESIDENT,Times Blank Voted,32,64,70,110,81,45,87,71,55,105,54,63,837
CITY COUNCIL PRESIDENT,Total Ballots,211,283,328,476,393,252,461,480,238,447,266,277,4112
COUNCILOR-AT-LARGE,Clyde L. Younger,52,84,84,74,94,71,121,125,64,174,93,90,1126
COUNCILOR-AT-LARGE,Anthony Palomba,127,195,230,338,268,145,286,309,147,235,124,152,2556
COUNCILOR-AT-LARGE,Anthony Joseph Donato,131,175,186,317,235,132,282,339,153,315,188,204,2657
COUNCILOR-AT-LARGE,John G. Gannon,100,142,176,299,220,126,230,271,112,232,123,139,2170
COUNCILOR-AT-LARGE,James L. Mello,69,69,52,77,88,61,127,145,64,151,98,99,1100
COUNCILOR-AT-LARGE,Michelle Joyce Cokonougher,70,69,98,86,101,57,73,102,60,72,59,51,898
COUNCILOR-AT-LARGE,Caroline J. Bays,121,165,231,314,260,159,283,277,132,170,115,128,2355
COUNCILOR-AT-LARGE,Total number of write-ins,1,7,0,1,3,3,6,6,2,1,3,5,38
COUNCILOR-AT-LARGE,Times Blank Voted,173,226,255,398,303,254,436,346,218,438,261,240,3548
COUNCILOR-AT-LARGE,Total Ballots,211,283,328,476,393,252,461,480,238,447,266,277,4112
DISTRICT A COUNCILOR,Angeline B. Kounelis,160,220,259,,,,,,,,,,639
DISTRICT A COUNCILOR,Total number of write-ins,0,2,5,,,,,,,,,,7
DISTRICT A COUNCILOR,Times Blank Voted,51,61,64,,,,,,,,,,176
DISTRICT A COUNCILOR,Total Ballots,211,283,328,,,,,,,,,,822
DISTRICT B COUNCILOR,Lisa J. Feltner,,,,363,320,188,,,,,,,871
DISTRICT B COUNCILOR,Total number of write-ins,,,,2,7,3,,,,,,,12
DISTRICT B COUNCILOR,Times Blank Voted,,,,111,66,61,,,,,,,238
DISTRICT B COUNCILOR,Total Ballots,,,,476,393,252,,,,,,,1121
DISTRICT C COUNCILOR,Vincent J. Piccirilli Jr.,,,,,,,366,391,187,,,,944
DISTRICT C COUNCILOR,Total number of write-ins,,,,,,,4,5,5,,,,14
DISTRICT C COUNCILOR,Times Blank Voted,,,,,,,91,84,46,,,,221
DISTRICT C COUNCILOR,Total Ballots,,,,,,,461,480,238,,,,1179
DISTRICT D COUNCILOR,Kenneth Michael Woodland,,,,,,,,,,335,187,204,726
DISTRICT D COUNCILOR,Total number of write-ins,,,,,,,,,,5,7,1,13
DISTRICT D COUNCILOR,Times Blank Voted,,,,,,,,,,107,72,72,251
DISTRICT D COUNCILOR,Total Ballots,,,,,,,,,,447,266,277,990
SCHOOL COMMITTEE,Lindsay J. Mosca,137,182,219,285,229,157,289,326,161,275,171,172,2603
SCHOOL COMMITTEE,Kendra M. Foley,133,189,231,344,265,166,288,326,153,279,157,162,2693
SCHOOL COMMITTEE,David M. Stokes,122,158,212,265,223,140,255,304,138,238,145,155,2355
SCHOOL COMMITTEE,Total number of write-ins,0,4,1,2,3,2,13,4,4,1,5,2,41
SCHOOL COMMITTEE,Times Blank Voted,241,316,321,532,459,291,538,480,258,548,320,340,4644
SCHOOL COMMITTEE,Total Ballots,211,283,328,476,393,252,461,480,238,447,266,277,4112
LIBRARY TRUSTEES,Mara Dolan,134,173,213,304,241,159,276,311,154,252,175,155,2547
LIBRARY TRUSTEES,Sheppard Ferguson,140,175,242,307,251,155,270,302,155,264,150,149,2560
LIBRARY TRUSTEES,Theodore C. Kokoros,114,164,207,273,229,140,242,303,137,238,149,154,2350
LIBRARY TRUSTEES,Total number of write-ins,1,5,1,2,0,2,11,5,1,3,2,3,36
LIBRARY TRUSTEES,Times Blank Voted,244,332,321,542,458,300,584,519,267,584,322,370,4843
LIBRARY TRUSTEES,Total Ballots,211,283,328,476,393,252,461,480,238,447,266,277,4112
