Office,Candidate,Precinct 1,Precinct 2,Precinct 3,Precinct 4,Precinct 5,Precinct 6,Precinct 7,Precinct 8,Precinct 9,Precinct 10,Precinct 11,Precinct 12,Total
Voter Turnout,Registered voters,1917,2015,2182,2157,2444,2038,2160,2135,1931,2878,1933,1903,25693
Voter Turnout,Voters,404,472,647,636,490,344,608,612,333,747,457,419,6169
CITY COUNCIL PRESIDENT,Mark S. Sideris,279,332,461,471,353,271,457,461,245,542,333,311,4516
CITY COUNCIL PRESIDENT,Total number of write-ins,5,15,8,20,9,14,18,16,8,10,15,5,143
CITY COUNCIL PRESIDENT,Times Blank Voted,120,125,178,145,128,59,133,135,80,195,109,103,1510
CITY COUNCIL PRESIDENT,Total Ballots,404,472,647,636,490,344,608,612,333,747,457,419,6169
COUNCILOR-AT-LARGE,John Airasian,214,228,257,298,223,156,319,288,162,466,306,260,3177
COUNCILOR-AT-LARGE,Caroline J. Bays,207,303,408,403,284,189,307,309,188,238,159,181,3176
COUNCILOR-AT-LARGE,Anthony Palomba,198,298,409,406,303,189,304,332,195,260,173,184,3251
COUNCILOR-AT-LARGE,Daniel D’Amico,135,196,311,321,233,149,259,301,164,282,171,140,2662
COUNCILOR-AT-LARGE,James L. Mello,93,88,85,123,99,81,178,195,91,275,197,157,1662
COUNCILOR-AT-LARGE,Megan S. O’Halloran,139,161,157,177,155,116,236,243,126,371,250,218,2349
COUNCILOR-AT-LARGE,John G. Gannon,170,232,303,355,281,170,287,304,182,304,152,176,2916
COUNCILOR-AT-LARGE,Total number of write-ins,1,2,1,4,1,4,5,0,1,1,2,1,23
COUNCILOR-AT-LARGE,Times Blank Voted,443,427,634,452,381,319,458,475,234,863,408,369,5463
COUNCILOR-AT-LARGE,Total Ballots,457,594,768,730,547,377,748,668,371,891,507,471,24679
DISTRICT A COUNCILOR,Nicole N. Gardner,242,369,498,,,,,,,,,,1109
DISTRICT A COUNCILOR,Michael J. Hanlon Jr.,141,106,126,,,,,,,,,,373
DISTRICT A COUNCILOR,Total number of write-ins,2,0,1,,,,,,,,,,3
DISTRICT A COUNCILOR,Times Blank Voted,19,13,22,,,,,,,,,,0
DISTRICT A COUNCILOR,Total Ballots,404,488,647,,,,,,,,,,1485
DISTRICT B COUNCILOR,Lisa J. Feltner,,,,425,305,194,,,,,,,924
DISTRICT B COUNCILOR,Tiffany York,,,,149,158,132,,,,,,,439
DISTRICT B COUNCILOR,Total number of write-ins,,,,3,0,0,,,,,,,3
DISTRICT B COUNCILOR,Times Blank Voted,,,,64,27,19,,,,,,,110
DISTRICT B COUNCILOR,Total Ballots,,,,641,490,345,,,,,,,1476
DISTRICT C COUNCILOR,Vincent J. Piccirilli Jr.,,,,,,,427,437,227,,,,1091
DISTRICT C COUNCILOR,Total number of write-ins,,,,,,,23,17,16,,,,56
DISTRICT C COUNCILOR,Times Blank Voted,,,,,,,141,158,88,,,,387
DISTRICT C COUNCILOR,Total Ballots,,,,,,,591,612,331,,,,1534
DISTRICT D COUNCILOR,Constance S. Henry,,,,,,,,,,198,127,129,454
DISTRICT D COUNCILOR,Emily C. Izzo,,,,,,,,,,515,309,271,1095
DISTRICT D COUNCILOR,Total number of write-ins,,,,,,,,,,0,0,0,0
DISTRICT D COUNCILOR,Times Blank Voted,,,,,,,,,,34,21,23,78
DISTRICT D COUNCILOR,Total Ballots,,,,,,,,,,747,457,423,1627
SCHOOL COMMITTEE,Lily Rayman-Read,172,238,327,337,273,174,278,294,158,235,157,182,2825
SCHOOL COMMITTEE,Rachel E. Kay,139,221,311,253,176,122,176,189,156,167,110,107,2127
SCHOOL COMMITTEE,Colleen Mahoney Faherty,100,113,98,119,98,88,178,193,85,270,180,183,1705
SCHOOL COMMITTEE,Jennifer A. Nicholson,108,134,119,177,156,105,238,234,94,375,246,197,2183
SCHOOL COMMITTEE,Amy B. Donohue,183,199,248,296,200,176,315,295,156,377,254,225,2924
SCHOOL COMMITTEE,Jessica D. Middlebrook,137,203,291,328,229,139,245,281,147,266,155,151,2572
SCHOOL COMMITTEE,Total number of write-ins,1,2,0,5,2,2,7,0,1,0,1,0,21
SCHOOL COMMITTEE,Times Blank Voted,361,337,525,378,336,217,344,345,200,623,262,221,4149
SCHOOL COMMITTEE,Total Ballots,439,553,721,687,528,359,711,645,349,867,491,456,18506
LIBRARY TRUSTEES,Sara A. Keary,169,232,268,261,282,174,230,279,186,304,212,167,2764
LIBRARY TRUSTEES,Rose Mary Su,191,228,340,280,225,143,248,263,176,319,186,158,2757
LIBRARY TRUSTEES,Leanne Hammonds,218,266,350,384,293,209,358,375,198,397,247,230,3525
LIBRARY TRUSTEES,Maja L. Young,168,224,267,313,201,134,225,216,126,232,145,155,2406
LIBRARY TRUSTEES,Total number of write-ins,1,3,0,7,4,2,12,2,0,4,3,7,45
LIBRARY TRUSTEES,Times Blank Voted,450,482,686,637,465,367,674,687,308,1009,563,538,6866
LIBRARY TRUSTEES,Total Ballots,435,541,713,676,528,365,677,636,346,819,482,445,18363
BALLOT QUESTION 1,YES,224,307,416,368,308,202,294,309,208,321,214,208,3379
BALLOT QUESTION 1,NO,138,158,191,229,152,121,254,282,118,399,221,192,2455
BALLOT QUESTION 1,Total number of write-ins,0,0,0,0,0,0,0,0,0,0,0,0,0
