city_town,election_date,office,candidate,votes,max_votes,total_ballots,blank_votes,write_ins,total_votes,vote_rank,is_winner
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,4178,1,5085,829,78,5007,1,TRUE
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,3418,4,5085,5243,29,20311,1,TRUE
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,3389,4,5085,5243,29,20311,2,TRUE
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,3030,4,5085,5243,29,20311,3,TRUE
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,2999,4,5085,5243,29,20311,4,TRUE
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,2232,4,5085,5243,29,20311,5,FALSE
Watertown,2025-11-04,DISTRICT A COUNCILOR,Nicole N. Gardner,934,1,1106,163,9,1097,1,TRUE
Watertown,2025-11-04,DISTRICT B COUNCILOR,Lisa J. Feltner,1012,1,1311,275,24,1287,1,TRUE
Watertown,2025-11-04,DISTRICT C COUNCILOR,Vincent J. Piccirilli Jr,1042,1,1497,142,6,1491,1,TRUE
Watertown,2025-11-04,DISTRICT C COUNCILOR,Andres E. Guzman,307,1,1497,142,6,1491,2,FALSE
Watertown,2025-11-04,DISTRICT D COUNCILOR,Emily C. Izzo,934,1,1171,223,14,1157,1,TRUE
Watertown,2025-11-04,LIBRARY TRUSTEES,Leanne Hammonds,3547,3,5085,4384,39,15216,1,TRUE
Watertown,2025-11-04,LIBRARY TRUSTEES,Pia L. Owens,3104,3,5085,4384,39,15216,2,TRUE
Watertown,2025-11-04,LIBRARY TRUSTEES,Xin Peng,2894,3,5085,4384,39,15216,3,TRUE
Watertown,2025-11-04,LIBRARY TRUSTEES,Fowler M.S. Brown Jr,1287,3,5085,4384,39,15216,4,FALSE
Watertown,2025-11-04,SCHOOL COMMITTEE,Jessica D. Middlebrook,3163,3,5085,3134,16,15239,1,TRUE
Watertown,2025-11-04,SCHOOL COMMITTEE,Sheila Krishnan,2991,3,5085,3134,16,15239,2,TRUE
Watertown,2025-11-04,SCHOOL COMMITTEE,Amy B. Donohue,2916,3,5085,3134,16,15239,3,TRUE
Watertown,2025-11-04,SCHOOL COMMITTEE,Joseph C. Ganno,1570,3,5085,3134,16,15239,4,FALSE
Watertown,2025-11-04,SCHOOL COMMITTEE,David M. Stokes,1465,3,5085,3134,16,15239,5,FALSE
Watertown,2023-11-07,CITY COUNCIL PRESIDENT,Mark S. Sideris,2623,1,3697,199,0,3697,1,TRUE
