city_town,election_date,office,candidate,precinct,votes,max_votes,total_ballots,write_ins,blank_votes,total_votes
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,1,199,1,255,6,50,249
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,10,250,1,318,3,65,315
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,11,410,1,498,16,72,482
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,12,307,1,355,3,45,352
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,2,329,1,401,5,67,396
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,3,365,1,450,4,81,446
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,4,524,1,622,4,94,618
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,5,275,1,346,4,67,342
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,6,298,1,343,7,38,336
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,7,447,1,549,11,91,538
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,8,493,1,602,10,99,592
Watertown,2025-11-04,CITY COUNCIL PRESIDENT,Mark S. Sideris,9,281,1,346,5,60,341
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,1,162,4,255,0,288,1020
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,1,156,4,255,0,288,1020
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,1,161,4,255,0,288,1020
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,1,99,4,255,0,288,1020
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,1,154,4,255,0,288,1020
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,10,176,4,318,3,384,1269
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,10,218,4,318,3,384,1269
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,10,173,4,318,3,384,1269
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,10,163,4,318,3,384,1269
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,10,155,4,318,3,384,1269
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,11,294,4,498,4,572,1988
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,11,343,4,498,4,572,1988
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,11,240,4,498,4,572,1988
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,11,274,4,498,4,572,1988
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,11,265,4,498,4,572,1988
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,12,229,4,355,0,371,1420
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,12,260,4,355,0,371,1420
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,12,169,4,355,0,371,1420
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,12,196,4,355,0,371,1420
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,12,195,4,355,0,371,1420
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,2,293,4,401,4,394,1600
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,2,245,4,401,4,394,1600
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,2,275,4,401,4,394,1600
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,2,137,4,401,4,394,1600
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,2,256,4,401,4,394,1600
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,3,321,4,450,2,412,1798
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,3,294,4,450,2,412,1798
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,3,316,4,450,2,412,1798
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Thomas J. Tracy,3,145,4,450,2,412,1798
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Caroline J. Bays,3,310,4,450,2,412,1798
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Anthony Palomba,4,433,4,622,2,581,2486
Watertown,2025-11-04,COUNCILOR-AT-LARGE,John G. Gannon,4,409,4,622,2,581,2486
Watertown,2025-11-04,COUNCILOR-AT-LARGE,Theophilus Offei,4,386,4,622,2,581,2486
